seamonkey_version,cve_id,advisory,title,reporter,impact,description,bug_id
02.35,['CVE-2015-2710'],2015-48,Buffer overflow with SVG content and CSS,Atte Kettunen,Critical,Using the Address Sanitizer tool security researcher Atte Kettunen found a buffer overflow during the rendering of SVG format graphics when combined with specific CSS properties on a page. This results in a potentially exploitable crash.,[1149542]
02.35,['CVE-2015-0797'],2015-47,Buffer overflow parsing H.264 video with Linux Gstreamer,Aki Helin,High,Security researcher Aki Helin used the Address Sanitizer tool to find a buffer overflow during video playback on Linux systems. This was due to a problem in older versions of the Gstreamer plugin during the parsing of H.264 formatted video. This issue could be used to induce a possibly exploitable crash.,[1080995]
02.35,['CVE-2015-2708'],2015-46,Miscellaneous memory safety hazards (rv:38.0 / rv:31.7),Mozilla Developers,Critical,Mozilla developers and community identified and fixed several memory safety bugs in the browser engine used in Firefox and other Mozilla-based products. Some of these bugs showed evidence of memory corruption under certain circumstances and we presume that with enough effort at least some of these could be exploited to run arbitrary code. Jesse Ruderman Mats Palmgren Byron Campen and Steve Fink reported memory safety problems and crashes that affect Firefox ESR 31.6 and Firefox 37.,"[1152177, 1143299, 1151139, 1120655]"
02.35,['CVE-2015-2709'],2015-46,Miscellaneous memory safety hazards (rv:38.0 / rv:31.7),Mozilla Developers,Critical,Mozilla developers and community identified and fixed several memory safety bugs in the browser engine used in Firefox and other Mozilla-based products. Some of these bugs showed evidence of memory corruption under certain circumstances and we presume that with enough effort at least some of these could be exploited to run arbitrary code. Gary Kwong Andrew McCreight Christian Holler Jesse Ruderman Mats Palmgren Jon Coppeard and Milan Sreckovic reported memory safety problems and crashes that affect Firefox 37.,"[1111251, 1143194, 1117977, 1155474, 1146101, 1153688, 1128064, 1149526, 1135066]"
02.35,['CVE-2015-2706'],2015-45,Memory corruption during failed plugin initialization,Robert Kaiser,High,Mozilla developer Robert Kaiser (Kairo) reported that a race condition when initialization of a plugin fails led to a potentially exploitable use-after-free vulnerability.,[1141081]
02.35,['CVE-2015-0799'],2015-44,Certificate verification bypass through the HTTP/2 Alt-Svc header,Muneaki Nishimura,Critical,Security researcher Muneaki Nishimura discovered a flaw in the Mozilla's HTTP Alternative Services implementation. If an Alt-Svc header is specified in the HTTP/2 response SSL certificate verification can be bypassed for the specified alternate server. As a result of this warnings of invalid SSL certificates will not be displayed and an attacker could potentially impersonate another site through a man-in-the-middle (MTIM) replacing the original certificate with their own.,[1148328]
02.35,['CVE-2015-0802'],2015-42,Windows can retain access to privileged content on navigation to unprivileged pages,Bobby Holley,Moderate,Mozilla developer Bobby Holley reported that windows created to hold privileged UI content retained access to privileged internal methods if later navigated to unprivileged content. If a separate flaw was found that allowed for web content to reference these privileged windows an attacker could use this reference to navigate them to their own content allowing for an escalation of privilege and arbitrary code execution. On its own this flaw does not allow for privilege escalation by web content.,[1124898]
02.35,['CVE-2015-2728'],2015-61,Type confusion in Indexed Database Manager,Paul Bandha,High,Security researcher Paul Bandha reported a type confusion error where part of IDBDatabase is read by the Indexed Database Manager and incorrectly used as a pointer when it shouldn't be used as such. This leads to memory corruption and the possibility of an exploitable crash.,[1142210]
02.35,"['CVE-2015-2734', 'CVE-2015-2735', 'CVE-2015-2736', 'CVE-2015-2737', 'CVE-2015-2738', 'CVE-2015-2739', 'CVE-2015-2740']",2015-66,Vulnerabilities found through code inspection,Ronald Crane,Critical,Security researcher Ronald Crane reported seven vulnerabilities affecting released code that he found through code inspection. These included three uses of uninitialized memory one poor validation leading to an exploitable crash one read of unowned memory in zip files and two buffer overflows. These do not all have clear mechanisms to be exploited through web content but are vulnerable if a mechanism can be found to trigger them.,"[1166082, 1166900, 1167888, 1167332, 1167356, 1168207, 1170809]"
02.35,['CVE-2015-2731'],2015-63,Use-after-free in Content Policy due to microtask execution error,Herre,Critical,Security researcher Herre reported a use-after-free vulnerability when a Content Policy modifies the Document Object Model to remove a DOM object which is then used afterwards due to an error in microtask implementation. This leads to an exploitable crash.,[1149891]
02.35,['CVE-2015-4481'],2015-84,Arbitrary file overwriting through Mozilla Maintenance Service with hard links,James Forshaw,High,Security researcher James Forshaw security researcher with Google Project Zero reported that the Mozilla Maintenance Service on Windows can be made to write its log file in a restricted location with an arbitrary file name through the use of a hard link by means of a race condition. This can allow the log file to overwrite another named file that a user would not have the privileges to change. If the overwritten file is used as source input or script by a program with elevated privileges it could allow for an escalation of privilege attack. This requires local file system access and the ability to execute local programs to be exploitable.,[1171518]
02.35,['CVE-2015-4498'],2015-95,Add-on notification bypass through data URLs,Bas Venis,High,Security researcher Bas Venis reported a mechanism where add-ons could be installed from a different source than user expectations. Normally when a user enters the URL to an add-on directly in the addressbar warning prompts are bypassed because it is the result of direct user action. He discovered that a data: URL could be manipulated on a loaded page to simulate this direct user input of the add-on's URL which would result in a bypassing of the install permission prompt. He also reported that in the absence of the permission prompt it is possible to cause the actual installation prompt to appear above another site's location by causing a page navigation immediately after triggering add-on installation. This could manipulate a user into falsely believing a trusted site (such as addons.mozilla.org) has initiated the installation. This could lead to users installing an add-on from a malicious source.,[1042699]
02.35,['CVE-2015-4497'],2015-94,Use-after-free when resizing canvas element during restyling,Jean-Max Reymond,Critical,Mozilla community member Jean-Max Reymond discovered a use-after-free vulnerability with a <canvas> element on a page. This occurs when a resize event is triggered in concert with style changes but the canvas references have been recreated in the meantime destroying the originally referenced context. This results in an exploitable crash.,"[1164766, 1175278]"
02.35,['CVE-2015-4496'],2015-93,Integer overflows in libstagefright while processing MP4 video metadata,Joshua Drake,Critical,Security researcher Joshua Drake  reported potential integer overflows  in the libstagefright library while processing video sample metadata in MPEG4 video files.   This can lead to a potentially exploitable crash.,[1149605]
02.35,['CVE-2015-4492'],2015-92,Use-after-free in XMLHttpRequest with shared workers,Looben Yang,High,Security researcher Looben Yang discovered a use-after-free vulnerability when recursively calling .open() on an XMLHttpRequest in a SharedWorker.,[1185820]
02.35,"['CVE-2015-4487', 'CVE-2015-4488', 'CVE-2015-4489']",2015-90,Vulnerabilities found through code inspection,Ronald Crane,High,Security researcher Ronald Crane reported three vulnerabilities affecting released code that were found through code inspection. These included one use of unowned memory one use of a deleted object and one memory safety bug. These do not all have clear mechanisms to be exploited through web content but are vulnerable if a mechanism can be found to trigger them.,"[1171603, 1176270, 1182723]"
02.35,"['CVE-2015-4485', 'CVE-2015-4486']",2015-89,Buffer overflows on Libvpx when decoding WebM video,Abhishek Arya,Critical,Security researcher Abhishek Arya (Inferno) of the Google Chrome Security Team used the Address Sanitizer tool to discover two buffer overflow issues in the Libvpx library used for WebM video when decoding a malformed WebM video file. These buffer overflows result in potentially exploitable crashes.,"[1177948, 1178148]"
02.35,['CVE-2015-4491'],2015-88,Heap overflow in gdk-pixbuf when scaling bitmap images,Gustavo Grieco,High,Security researcher Gustavo Grieco reported a heap overflow in gdk-pixbuf affecting Linux systems using Gnome. This issue is triggered by the scaling of a malformed bitmap format image and results in a potentially exploitable crash.,[1184009]
02.35,['CVE-2015-4484'],2015-87,Crash when using shared memory in JavaScript,Jukka Jylänki,Moderate,Security researcher Jukka Jylänki reported a crash that occurs because JavaScript when using shared memory does not properly gate access to Atomics or SharedArrayBuffer views in some contexts. This leads to a non-exploitable crash.,[1171540]
02.35,['CVE-2015-4482'],2015-85,Out-of-bounds write with Updater and malicious MAR file,Holger Fuhrmannek,High,Security researcher Holger Fuhrmannek reported that if the Updater opens a MAR format file with a specially crafted name an out-of-bounds write will occur. This can lead to a potentially exploitable crash but requires that the malicious MAR format file be present on the local system and the Updater to be run to use it.,[1184500]
02.35,"['CVE-2015-4479', 'CVE-2015-4480', 'CVE-2015-4493']",2015-83,Overflow issues in libstagefright,"Anonymous, laf.intel, Massimiliano Tomassoli, Tyson Smith, Christoph Diehl",Critical,An anonymous researcher reported via TippingPoint's Zero Day Initiative two integer overflows in the libstagefright library that could be triggered by a malicious 'saio' chunk in an MPEG4 video. These overflows allowed for potential arbitrary code execution. This issue was independently reported by security researcher laf.intel.,"[1185115, 1170344, 1144107, 1186718, 1170344]"
02.35,['CVE-2015-2730'],2015-64,ECDSA signature validation fails to handle some signatures correctly,Watson Ladd,Moderate,Mozilla community member Watson Ladd reported that the implementation of Elliptical Curve Cryptography (ECC) multiplication for Elliptic Curve Digital Signature Algorithm (ECDSA) signature validation in Network Security Services (NSS) did not handle exceptional cases correctly. This could potentially allow for signature forgery. This issue was fixed in NSS version 3.19.1.,[1125025]
02.35,['CVE-2015-4478'],2015-82,Redefinition of non-configurable JavaScript object properties,André Bargull,High,Security researcher André Bargull reported non-configurable properties on JavaScript objects can be redefined while parsing JSON in violation of the ECMAScript 6 standard. This allows malicious web content to bypass same-origin policy by editing these properties to arbitrary values.,[1105914]
02.35,['CVE-2015-4475'],2015-80,Out-of-bounds read with malformed MP3 file,Aki Helin,High,Security researcher Aki Helin used the Address Sanitizer tool to discover an out-of-bounds read during playback of a malformed MP3 format audio file which switches sample formats. This could trigger a potentially exploitable crash or the reading of out-of-bounds memory content in some circumstances.,[1175396]
02.35,['CVE-2015-4473'],2015-79,Miscellaneous memory safety hazards (rv:40.0 / rv:38.2),Mozilla Developers,Critical,Mozilla developers and community identified and fixed several memory safety bugs in the browser engine used in Firefox and other Mozilla-based products. Some of these bugs showed evidence of memory corruption under certain circumstances and we presume that with enough effort at least some of these could be exploited to run arbitrary code. Gary Kwong Christian Holler and Byron Campen reported memory safety problems and crashes that affect Firefox ESR 38.1 and Firefox 39.,"[1182711, 1146213, 1178890]"
02.35,['CVE-2015-4474'],2015-79,Miscellaneous memory safety hazards (rv:40.0 / rv:38.2),Mozilla Developers,Critical,Mozilla developers and community identified and fixed several memory safety bugs in the browser engine used in Firefox and other Mozilla-based products. Some of these bugs showed evidence of memory corruption under certain circumstances and we presume that with enough effort at least some of these could be exploited to run arbitrary code. Tyson Smith Bobby Holley Chris Coulson Byron Campen and Eric Rahm reported memory safety problems and crashes that affect Firefox 39.,"[1181204, 1177501, 1184068, 1188590, 1143130, 1161719]"
02.35,['CVE-2015-2721'],2015-71,NSS incorrectly permits skipping of ServerKeyExchange,Karthikeyan Bhargavan,Moderate,Security researcher Karthikeyan Bhargavan reported an issue in Network Security Services (NSS) where the client allows for a ECDHE_ECDSA exchange where the server does not send its ServerKeyExchange message instead of aborting the handshake. Instead the NSS client will take the EC key from the ECDSA certificate. This violates the TLS protocol and also has some security implications for forward secrecy. In this situation the browser thinks it is engaged in an ECDHE exchange but has been silently downgraded to a non-forward secret mixed-ECDH exchange instead. As a result if False Start is enabled the browser will start sending data encrypted under these non-forward-secret connection keys. This issue was fixed in NSS version 3.19.1.,[1086145]
02.35,['CVE-2015-4000'],2015-70,NSS accepts export-length DHE keys with regular DHE cipher suites,"Matthew Green, authors of the paper",Moderate,"Security researcher Matthew Green reported a Diffie–Hellman (DHE) key processing issue in Network Security Services (NSS) where a man-in-the-middle (MITM) attacker can force a server to downgrade TLS connections to 512-bit export-grade cryptography by modifying client requests to include only export-grade cipher suites. The resulting weak key can then be leveraged to impersonate the server. This attack is detailed in the ""Imperfect Forward Secrecy: How Diffie-Hellman Fails in Practice"" paper and is known as the ""Logjam Attack.""",[1138554]
02.35,['CVE-2015-2741'],2015-67,Key pinning is ignored when overridable errors are encountered,David Keeler,Moderate,Mozilla security engineer David Keeler reported that when an overridable error is encountered such as those for expired certificates or a host name does not match a certificate pinning checks can be be skipped. This would allow for a user to override a pinned certificate when they should not be able to do so. This issue does not allow for third parties to cause a certificate to be overridden and the user would still have to manually do so.,[1147497]
02.35,"['CVE-2015-0803', 'CVE-2015-0804']",2015-39,Use-after-free due to type confusion flaws,Nils,Critical,Security researcher Nils used the Address Sanitizer tool to discover two type confusion flaws. The first of these occurs while setting specific attributes of a source element resulting in incorrect object casting. The second flaw occurs when binding a source to a tree when the function fails to validate the namespace. These flaws lead to use-after-free errors resulting in potentially exploitable crashes.,"[1134561, 1134560]"
02.35,"['CVE-2015-2722', 'CVE-2015-2733']",2015-65,Use-after-free in workers while using XMLHttpRequest,Looben Yang,Critical,Security researcher Looben Yang used the Address Sanitizer tool to discover two related use-after-free vulnerabilities that occur when using XMLHttpRequest in concert with either shared or dedicated workers. These errors occur when the XMLHttpRequest object is attached to a worker but that object is incorrectly deleted while still in use. This results in exploitable crashes.,"[1166924, 1169867]"
02.35,['CVE-2015-0801'],2015-40,Same-origin bypass through anchor navigation,"Olli Pettay, Boris Zbarsky",High,Mozilla developer Olli Pettay reported that while investigating Mozilla Foundation Security Advisory 2015-28 he and Mozilla developer Boris Zbarsky found an alternate way to trigger a similar vulnerability. The previously reported flaw used an issue with SVG content navigation to bypass same-origin policy protections to run scripts in a privileged context. This newer variant found that the same flaw could be used during anchor navigation of a page allowing bypassing of same-origin policy protections.,[1146339]
02.35,"['CVE-2015-0805', 'CVE-2015-0806']",2015-38,Memory corruption crashes in Off Main Thread Compositing,Abhishek Arya,Critical,Security researcher Abhishek Arya (Inferno) of the Google Chrome Security Team used the Address Sanitizer tool to discover two memory corruption crashes during 2D graphics rendering due to problems in Off Main Thread Compositing. These crashes are potentially exploitable.,"[1135511, 1099437]"
02.35,['CVE-2015-0814'],2015-30,Miscellaneous memory safety hazards (rv:37.0 / rv:31.6),Mozilla Developers,Critical,Mozilla developers and community identified and fixed several memory safety bugs in the browser engine used in Firefox and other Mozilla-based products. Some of these bugs showed evidence of memory corruption under certain circumstances and we presume that with enough effort at least some of these could be exploited to run arbitrary code. Christian Holler Andrew McCreight Gary Kwong Karl Tomlinson Randell Jesup Shu-yu Guo Steve Fink and Tooru Fujisawa reported memory safety problems and crashes that affect Firefox 36.0.4.,"[1138391, 1005991, 1111327, 1116306, 1137624, 1132342, 1130150, 1136397, 1133909, 1127012]"
02.35,['CVE-2015-0808'],2015-36,Incorrect memory management for simple-type arrays in WebRTC,Mitchell Harper,Low,Security researcher Mitchell Harper used Valgrind to discover incorrect memory management for simple-type arrays in WebRTC. This was undefined behavior which is theoretically dangerous but was determined to be safe in this instance.,[1109552]
02.35,['CVE-2015-0810'],2015-35,Cursor clickjacking with flash and images,Jordi Chancel,Moderate,Security researcher Jordi Chancel reported a mechanism that made cursor invisible through flash content and then replaced it through the layering of HTML content. This flaw can be in used in combination with an image of the cursor manipulated through JavaScript leading to clickjacking during subsequent interactions with HTML content.,[1125013]
02.35,['CVE-2015-0811'],2015-34,Out of bounds read in QCMS library,Felix Gröbert,Moderate,Security researcher Felix Gröbert of Google used the Address Sanitizer tool to discover an out of bounds read in the QCMS color management library while transforming images with certain parameters. This could lead to information disclosure.,[1132468]
02.35,['CVE-2015-0816'],2015-33,resource:// documents can load privileged pages,Mariusz Mlynski,Moderate,Security researcher Mariusz Mlynski reported through HP Zero Day Initiative's Pwn2Own contest that documents loaded though a resource: URL such as Mozilla's PDF.js PDF file viewer were able to subsequently load privileged chrome pages. The privilege restrictions on resource: URLs was handled incorrectly and these restrictions could be bypassed if this flaw was combined with a separate vulnerability allowing for same-origin policy violation it could be used to run arbitrary code.,[1144991]
02.35,['CVE-2015-0813'],2015-31,Use-after-free when using the Fluendo MP3 GStreamer plugin,Aki Helin,Critical,Security researcher Aki Helin reported a use-after-free when playing certain MP3 format audio files on the web using the Fluendo MP3 plugin for GStreamer on Linux. This is due to a flaw in handling certain MP3 files by the plugin and its interaction with Mozilla code. This can lead to a potentially exploitable crash.,[1106596]
02.35,['CVE-2015-0815'],2015-30,Miscellaneous memory safety hazards (rv:37.0 / rv:31.6),Mozilla Developers,Critical,Mozilla developers and community identified and fixed several memory safety bugs in the browser engine used in Firefox and other Mozilla-based products. Some of these bugs showed evidence of memory corruption under certain circumstances and we presume that with enough effort at least some of these could be exploited to run arbitrary code. Christian Holler Byron Campen and Steve Fink reported memory safety problems and crashes that affect Firefox ESR 31.5.3 and Firefox 36.0.4.,"[1138199, 1036515, 1137326]"
02.35,['CVE-2015-0807'],2015-37,CORS requests should not follow 30x redirections after preflight,"Christoph Kerschbaumer, Muneaki Nishimura",High,Mozilla developer Christoph Kerschbaumer discovered an issue while investigating Mozilla Foundation Security Advisory 2015-03 previously reported by security researcher Muneaki Nishimura. This flaw was that a cross-origin resource sharing (CORS) request should not follow 30x redirections after preflight according to the specification. This only affects sendBeacon() requests but could allow for a potential Cross-site request forgery (XSRF) attack from malicious websites.,[1111834]
02.33.1,['CVE-2015-0817'],2015-29,Code execution through incorrect JavaScript bounds checking elimination,ilxu1a,Critical,Security researcher ilxu1a reported through HP Zero Day Initiative's Pwn2Own contest a flaw in Mozilla's implementation of typed array bounds checking in JavaScript just-in-time compilation (JIT) and its management of bounds checking for heap access. This flaw can be leveraged into the reading and writing of memory allowing for arbitary code execution on the local system.,[1145255]
02.33.1,['CVE-2015-0818'],2015-28,Privilege escalation through SVG navigation,Mariusz Mlynski,Critical,Security researcher Mariusz Mlynski reported through HP Zero Day Initiative's Pwn2Own contest a method to run arbitrary scripts in a privileged context. This bypassed the same-origin policy protections by using a flaw in the processing of SVG format content navigation.,[1144988]
02.33,['CVE-2015-0825'],2015-21,Buffer underflow during MP3 playback,Atte Kettunen,Medium,Security researcher Atte Kettunen used the Address Sanitizer tool to discover a buffer underflow during audio playback of a badly formatted MP3 audio files. Through memory allocation manipulation it may be possible to incorporate parts of Firefox memory into an MP3 stream accessible to scripts on the page.,[1092370]
02.33,['CVE-2015-0820'],2015-27,Caja Compiler JavaScript sandbox bypass,Jan de Mooij,Moderate,Mozilla developer Jan de Mooij reported an issue that affects web content that relies on the Caja Compiler for protection or other similar sandboxing libraries. He found that some JavaScript objects marked as non-extensible within Caja and Secure EcmaScript could be made extensible again bypassing the Caja sandboxing security measures when the JavaScript code should not be allowed to run.,[1125389]
02.33,['CVE-2015-0821'],2015-25,Local files or privileged URLs in pages can be opened into new tabs,Armin Ebert,Moderate,Security researcher Armin Ebert reported that opening hyperlinks on a page with the mouse and specific keyboard key combinations could allow a Chrome privileged URL to be opened without context restrictions being preserved. This could also allow for local files or resources from a known location to be opened with local privileges bypassing security protections.,[1111960]
02.33,['CVE-2015-0822'],2015-24,Reading of local files through manipulation of form autocomplete,Armin Ebert,High,Security researcher Armin Ebert reported that a user readable file in a known local path could be uploaded to a malicious site. This was done by manipulating the autocomplete feature in a form and user interaction with it. While the local file is not visibly uploaded through the form its contents are made available through the Document Object Model (DOM) to script content on the attacking page leading to information disclosure.,[1110557]
02.33,['CVE-2015-0824'],2015-22,Crash using DrawTarget in Cairo graphics library,Atte Kettunen,Moderate,Security researcher Atte Kettunen used the Address Sanitizer tool to discover a crash while drawing images through the Cairo graphics library while using the DrawTarget function. This can result in a segmentation fault due to zero-ing out of memory outside the bounds of the image.,[1095925]
02.33,['CVE-2015-0832'],2015-13,Appended period to hostnames can bypass HPKP and HSTS protections,Muneaki Nishimura,Moderate,"Security researcher Muneaki Nishimura reported that when certificate pinning is set to ""strict"" mode a period ('.') appended to a hostname in the address of a site allowed the bypass key pinning (HPKP) and HTTP Strict Transport Security (HSTS). Sites with a period appended were treated as having a different origin than sites without the period. If an attacker had a security certificate for a domain with the added period this would allow for a Man-in-the-middle (MITM) attack on users.",[1065909]
02.33,['CVE-2015-0826'],2015-20,Buffer overflow during CSS restyling,Atte Kettunen,High,Security researcher Atte Kettunen used the Address Sanitizer tool to discover an out-of-bounds read during the application of restyling and reflowing changes of web content using CSS. This results in a potentially exploitable crash.,[1092363]
02.33,['CVE-2015-0835'],2015-11,Miscellaneous memory safety hazards (rv:36.0 / rv:31.5),Mozilla Developers and Community Members,Critical,Mozilla developers and community identified and fixed several memory safety bugs in the browser engine used in Firefox and other Mozilla-based products. Some of these bugs showed evidence of memory corruption under certain circumstances and we presume that with enough effort at least some of these could be exploited to run arbitrary code. Christian Holler Gary Kwong Jesse Ruderman Byron Campen Randell Jesup Robin Whittleton Jon Coppeard and Nikhil Marathe reported memory safety problems and crashes that affect Firefox 35.,"[1114569, 1118894, 1092947, 1114058, 1072760, 1122387, 1119019, 1125734, 1127246, 1127206]"
02.33,['CVE-2015-0836'],2015-11,Miscellaneous memory safety hazards (rv:36.0 / rv:31.5),Mozilla Developers and Community Members,Critical,Mozilla developers and community identified and fixed several memory safety bugs in the browser engine used in Firefox and other Mozilla-based products. Some of these bugs showed evidence of memory corruption under certain circumstances and we presume that with enough effort at least some of these could be exploited to run arbitrary code. Carsten Book Christoph Diehl Gary Kwong Jan de Mooij Liz Henry Byron Campen Tom Schuster and Ryan VanderMeulen reported memory safety problems and crashes that affect Firefox ESR 31.4 and Firefox 35.,"[1107009, 1117406, 1096138, 1119579, 1128196, 1115776, 1123882, 1111243, 1111248, 1124018]"
02.33,['CVE-2015-0828'],2015-18,Double-free when using non-default memory allocators with a zero-length XHR,"Abhishek Arya, Gary Kwong",High,Security researcher Abhishek Arya (Inferno) of the Google Chrome Security Team and Mozilla security developer Gary Kwong used the Address Sanitizer tool to discover a double-free error when sending a zero-length XmlHttpRequest (XHR). This was due to errors in memory allocation when using different memory allocator libraries than jemalloc used by Mozilla builds. When those other memory allocators are used for build compilation this could cause a potentially exploitable crash during some XHR actions.,"[1030667, 988675]"
02.33,['CVE-2015-0829'],2015-17,Buffer overflow in libstagefright during MP4 video playback,Pantrombka,Critical,Security researcher Pantrombka reported a buffer overflow in the libstagefright library during video playback when certain invalid MP4 video files led to the allocation of a buffer that was too small for the content. This led to a potentially exploitable crash.,[1128939]
02.33,['CVE-2015-0831'],2015-16,Use-after-free in IndexedDB,Paul Bandha,Critical,Security researcher Paul Bandha used the used the Address Sanitizer tool to discover a use-after-free vulnerability when running specific web content with IndexedDB to create an index. This leads to a potentially exploitable crash.,[1130541]
02.33,['CVE-2015-0833'],2015-12,Invoking Mozilla updater will load locally stored DLL files,Holger Fuhrmannek,High,Security researcher Holger Fuhrmannek reported that when the Mozilla updater is run directly the updater will load binary DLL format files from the local working directory or from the Windows temporary directories. This occurs when it is run without the Mozilla Maintenance Service on Windows systems. This allowed for possibly malicious DLL files to execute with elevated privileges if a user agrees when a User Account Control (UAC) prompt from Windows is displayed.,[945192]
02.33,['CVE-2015-0827'],2015-19,Out-of-bounds read and write while rendering SVG content,Abhishek Arya,High,Security researcher Abhishek Arya (Inferno) of the Google Chrome Security Team used the Address Sanitizer tool to report an out-of-bounds read and an out-of-bounds write when rendering an improperly formatted SVG graphic. This could potentially allow the attacker to read uninitialized memory.,[1117304]
02.33,['CVE-2015-0830'],2015-14,Malicious WebGL content crash when writing strings,Daniele Di Proietto,Moderate,Security researcher Daniele Di Proietto discovered that when WebGL content crafted in a specific manner wrote strings it would cause a crash when this content was run.,[1110488]
02.32,['CVE-2014-8635'],2015-01,Miscellaneous memory safety hazards (rv:35.0 / rv:31.4),Mozilla Developers,Critical,Mozilla developers and community identified and fixed several memory safety bugs in the browser engine used in Firefox and other Mozilla-based products. Some of these bugs showed evidence of memory corruption under certain circumstances and we presume that with enough effort at least some of these could be exploited to run arbitrary code. Christoph Diehl Christian Holler Gary Kwong Jesse Ruderman Byron Campen Terrence Cole and Nils Ohlmeier reported memory safety problems and crashes that affect Firefox 34.,"[1072871, 1070962, 1054538, 1072130, 1026774, 1027300, 1067473, 1098583]"
02.32,['CVE-2014-8634'],2015-01,Miscellaneous memory safety hazards (rv:35.0 / rv:31.4),Mozilla Developers,Critical,Mozilla developers and community identified and fixed several memory safety bugs in the browser engine used in Firefox and other Mozilla-based products. Some of these bugs showed evidence of memory corruption under certain circumstances and we presume that with enough effort at least some of these could be exploited to run arbitrary code. Christian Holler and Patrick McManus reported memory safety problems and crashes that affect Firefox ESR 31.3 and Firefox 34.,"[1109889, 1111737]"
02.32,['CVE-2014-8637'],2015-02,Uninitialized memory use during bitmap rendering,Michal Zalewski,High,Google security researcher Michal Zalewski reported that when a malformed bitmap image is rendered by the bitmap decoder within a <canvas> element memory may not always be properly initialized. The resulting image then uses this uninitialized memory during rendering allowing data to potentially leak to web content.,[1094536]
02.32,['CVE-2014-8638'],2015-03,sendBeacon requests lack an Origin header,Muneaki Nishimura,Moderate,Security researcher Muneaki Nishimura reported that navigator.sendBeacon() does not follow the cross-origin resource sharing (CORS) specification. This results in the request from sendBeacon() lacking an origin header in violation of the W3C Beacon specification and not being treated as a CORS request. This allows for a potential Cross-site request forgery (XSRF) attack from malicious websites.,[1080987]
02.32,['CVE-2014-8639'],2015-04,Cookie injection through Proxy Authenticate responses,"Xiaofeng Zheng, Blue Lotus Team",Moderate,Security researcher Xiaofeng Zheng of the Blue Lotus Team at Tsinghua University reported reported that a Web Proxy returning a 407 Proxy Authentication response with a Set-Cookie header could inject cookies into the originally requested domain. This could be used for session-fixation attacks. This attack only allows cookies to be written but does not allow them to be read.,[1095859]
02.32,['CVE-2014-8640'],2015-05,Read of uninitialized memory in Web Audio,Holger Fuhrmannek,Moderate,Security researcher Holger Fuhrmannek used the used the Address Sanitizer tool to discover a crash in Web Audio while manipulating timelines. This allowed for the a small block of memory with an uninitialized pointer to be read. The crash it not exploitable.,[1100409]
02.32,['CVE-2014-8641'],2015-06,Read-after-free in WebRTC,Mitchell Harper,Critical,Security researcher Mitchell Harper discovered a read-after-free in WebRTC due to the way tracks are handled. This results in a either a potentially exploitable crash or incorrect WebRTC behavior.,[1108455]
02.32,['CVE-2014-8642'],2015-08,Delegated OCSP responder certificates failure with id-pkix-ocsp-nocheck extension,Brian Smith,Low,Brian Smith reported that delegated Online Certificate Status Protocol (OCSP) responder certificates fail to recognize the id-pkix-ocsp-nocheck extension. If this extension is present in a delegated OCSP response signing certificate it will be discarded if it is signed by such a certificate. This could result in a user connecting to a site with a revoked certificate.,[1079658]
02.32,['CVE-2014-8636'],2015-09,XrayWrapper bypass through DOM objects,"Bobby Holley, Joe Vennix",Critical,Mozilla developer Bobby Holley reported that Document Object Model (DOM) objects with some specific properties can bypass XrayWrappers. This can allow web content to confuse privileged code potentially enabling privilege escalation.,"[987794, 1120261]"
02.31,['CVE-2014-1594'],2014-89,Bad casting from the BasicThebesLayer to BasicContainerLayer,"Byoungyoung Lee, Chengyu Song, Taesoo Kim",High,Security researchers Byoungyoung Lee Chengyu Song and Taesoo Kim at the Georgia Tech Information Security Center (GTISC) reported a bad casting from the BasicThebesLayer to BasicContainerLayer resulting in undefined behavior. This behavior is potentially exploitable with some compilers but no clear mechanism to trigger it through web content was identified.,[1074280]
02.31,['CVE-2014-1593'],2014-88,Buffer overflow while parsing media content,Abhishek Arya,Critical,Security researcher Abhishek Arya (Inferno) of the Google Chrome Security Team used the Address Sanitizer tool to discover a buffer overflow during the parsing of media content. This leads to a potentially exploitable crash.,[1085175]
02.31,['CVE-2014-1588'],2014-83,Miscellaneous memory safety hazards (rv:34.0 / rv:31.3),Mozilla Developers,Critical,Mozilla developers and community identified and fixed several memory safety bugs in the browser engine used in Firefox and other Mozilla-based products. Some of these bugs showed evidence of memory corruption under certain circumstances and we presume that with enough effort at least some of these could be exploited to run arbitrary code. Christian Holler Gary Kwong Jon Coppeard Eric Rahm Byron Campen Eric Rescorla and Xidorn Quan reported memory safety problems and crashes that affect Firefox 33.,"[1013001, 1023158, 1064835, 1096026, 1075546, 1086842, 1073577, 1048517, 1026037, 1037830, 1077687]"
02.31,['CVE-2014-1587'],2014-83,Miscellaneous memory safety hazards (rv:34.0 / rv:31.3),Mozilla Developers,Critical,Mozilla developers and community identified and fixed several memory safety bugs in the browser engine used in Firefox and other Mozilla-based products. Some of these bugs showed evidence of memory corruption under certain circumstances and we presume that with enough effort at least some of these could be exploited to run arbitrary code. Gary Kwong Randell Jesup Nils Ohlmeier Jesse Ruderman and Max Jonas Werner reported memory safety problems and crashes that affect Firefox ESR 31.2 and Firefox 33.,"[1042567, 1080312, 1089207, 1072847, 1079729]"
