thunderbird_version,cve_id,advisory,title,reporter,impact,description,bug_id
68.01,['CVE-2019-17015'],2020-04,Memory corruption in parent process during new content process initialization on Windows,Thomas Imbert,high,During the initialization of a new content process a pointer offset can be manipulated leading to memory corruption and a potentially exploitable crash in the parent process. Note: this issue only occurs on Windows. Other operating systems are unaffected.,[1599005]
68.01,['CVE-2019-17024'],2020-04,Memory safety bugs fixed in Thunderbird 68.4.1,Mozilla developers,high,Mozilla developers Jason Kratzer Christian Holler and Bob Clary reported memory safety bugs present in Thunderbird 68.3. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code.,"[1507180, 1595470, 1598605, 1601826]"
68.01,['CVE-2019-17021'],2020-04,Heap address disclosure in parent process during content process initialization on Windows,Thomas Imbert,moderate,During the initialization of a new content process a race condition occurs that can allow a content process to disclose heap addresses from the parent process. Note: this issue only occurs on Windows. Other operating systems are unaffected.,[1599008]
68.01,['CVE-2019-17017'],2020-04,Type Confusion in XPCVariant.cpp,bo13oy,high,Due to a missing case handling object types a type confusion vulnerability could occur resulting in a crash. We presume that with enough effort that it could be exploited to run arbitrary code.,[1603055]
68.01,['CVE-2019-17016'],2020-04,Bypass of @namespace CSS sanitization during pasting,Michał Bentkowski,high,When pasting a <style> tag from the clipboard into a rich text editor the CSS sanitizer incorrectly rewrites a @namespace rule. This could allow for injection into certain types of websites resulting in data exfiltration.,[1599181]
68.01,['CVE-2019-17026'],2020-04,IonMonkey type confusion with StoreElementHole and FallibleStoreElement,Qihoo 360 ATA,critical,Incorrect alias information in IonMonkey JIT compiler for setting array elements could lead to a type confusion. We are aware of targeted attacks in the wild abusing this flaw.,[1607443]
68.01,['CVE-2019-17022'],2020-04,CSS sanitization does not escape HTML tags,Michał Bentkowski,moderate,When pasting a <style> tag from the clipboard into a rich text editor the CSS sanitizer does not escape < and > characters. Because the resulting string is pasted directly into the text node of the element this does not result in a direct injection into the webpage; however if a webpage subsequently copies the node's innerHTML assigning it to another innerHTML this would result in an XSS vulnerability. Two WYSIWYG editors were identified with this behavior more may exist.,[1602843]
68,['CVE-2019-11721'],2019-28,Domain spoofing through unicode latin 'kra' character,Anonymous,moderate,The unicode latin 'kra' character can be used to spoof a standard 'k' character in the addressbar. This allows for domain spoofing attacks as do not display as punycode text allowing for user confusion.,[1256009]
68,['CVE-2019-11711'],2019-28,Script injection within domain through inner window reuse,Boris Zbarsky,high,When an inner window is reused it does not consider the use of document.domain for cross-origin protections. If pages on different subdomains ever cooperatively use document.domain then either page can abuse this to inject script into arbitrary pages on the other subdomain even those that did not use document.domain to relax their origin security.,[1552541]
68,['CVE-2019-11709'],2019-28,Memory safety bugs fixed in Firefox 68 Firefox ESR 60.8 and Thunderbird 68,Mozilla developers and community,critical,Mozilla developers and community members Andreea Pavel Christian Holler Honza Bambas Jason Kratzer and Jeff Gilbert reported memory safety bugs fixed in Firefox 68 Firefox ESR 60.8 and Thunderbird 68. Some of these bugs showed evidence of memory corruption and we presume that with enough effort that some of these could be exploited to run arbitrary code.,"[1547266, 1540759, 1548822, 1550498, 1515052, 1539219, 1547757, 1550498, 1533522]"
68,['CVE-2019-11710'],2019-28,Memory safety bugs fixed in Firefox 68 and Thunderbird 68,Mozilla developers and community,critical,Mozilla developers and community members André Bargull Christian Holler Natalia Csoregi Raul Gurzau Daniel Varga Jon Coppeard Marcia Knous Gary Kwong Randell Jesup David Bolter Jeff Gilbert and Deian Stefan reported memory safety bugs fixed in Firefox 68 and Thunderbird 68. Some of these bugs showed evidence of memory corruption and we presume that with enough effort that some of these could be exploited to run arbitrary code.,"[1549768, 1548611, 1533842, 1537692, 1540590, 1551907, 1510345, 1535482, 1535848, 1547472, 1547760, 1507696, 1544180, 1400563]"
68,['CVE-2019-11728'],2019-28,Port scanning through Alt-Svc header,"Trishita Tiwari, Ari Trachtenberg",low,The HTTP Alternative Services header Alt-Svc can be used by a malicious site to scan all TCP ports of any host that the accessible to a user when web content is loaded.,[1552993]
68,['CVE-2019-11727'],2019-28,PKCS#1 v1.5 signatures can be used for TLS 1.3,Hubert Kario,low,A vulnerability exists where it possible to force Network Security Services (NSS) to sign CertificateVerify with PKCS#1 v1.5 signatures when those are the only ones advertised by server in CertificateRequest in TLS 1.3. PKCS#1 v1.5 signatures should not be used for TLS 1.3 messages.,[1552208]
68,['CVE-2019-11725'],2019-28,Websocket resources bypass safebrowsing protections,Andrey,low,When a user navigates to site marked as unsafe by the Safebrowsing API warning messages are displayed and navigation is interrupted but resources from the same site loaded through websockets are not blocked leading to the loading of unsafe resources and bypassing safebrowsing protections.,[1483510]
68,['CVE-2019-11724'],2019-28,Retired site input.mozilla.org has remote troubleshooting permissions,Frederik Braun,low,Application permissions give additional remote troubleshooting permission to the site input.mozilla.org which has been retired and now redirects to another site. This additional permission is unnecessary and is a potential vector for malicious attacks.,[1512511]
68,['CVE-2019-11723'],2019-28,Cookie leakage during add-on fetching across private browsing boundaries,Andreas Wagner,low,"A vulnerability exists during the installation of add-ons where the initial fetch ignored the origin attributes of the browsing context. This could leak cookies in private browsing mode or across different ""containers"" for people who use the Firefox Multi-Account Containers Web Extension.",[1528335]
68,['CVE-2019-11730'],2019-28,Same-origin policy treats all files in a directory as having the same-origin,Luigi Gubello,moderate,A vulnerability exists where if a user opens a locally saved HTML file this file can use file: URIs to access other files in the same directory or sub-directories if the names are known or guessed. The Fetch API can then be used to read the contents of any files stored in these directories and they may uploaded to a server. Luigi Gubello demonstrated that in combination with a popular Android messaging app if a malicious HTML attachment is sent to a user and they opened that attachment in Firefox due to that app's predictable pattern for locally-saved file names it is possible to read attachments the victim received from other correspondents.,[1558299]
68,['CVE-2019-11719'],2019-28,Out-of-bounds read when importing curve25519 private key,Henry Corrigan-Gibbs,moderate,When importing a curve25519 private key in PKCS#8format with leading 0x00 bytes it is possible to trigger an out-of-bounds read in the Network Security Services (NSS) library. This could lead to information disclosure.,[1540541]
68,['CVE-2019-11720'],2019-28,Character encoding XSS vulnerability,Rakesh Mane,moderate,Some unicode characters are incorrectly treated as whitespace during the parsing of web content instead of triggering parsing errors. This allows malicious code to then be processed evading cross-site scripting (XSS) filtering.,[1556230]
68,['CVE-2019-11712'],2019-28,Cross-origin POST requests can be made with NPAPI plugins by following 308 redirects,Gregory Smiley of Security Compass,high,POST requests made by NPAPI plugins such as Flash that receive a status 308 redirect response can bypass CORS requirements. This can allow an attacker to perform Cross-Site Request Forgery (CSRF) attacks.,[1543804]
68,['CVE-2019-11717'],2019-28,Caret character improperly escaped in origins,Tyson Smith,moderate,"A vulnerability exists where the caret (""^"") character is improperly escaped constructing some URIs due to it being used as a separator allowing for possible spoofing of origin attributes.",[1548306]
68,['CVE-2019-11716'],2019-28,globalThis not enumerable until accessed,Chris Hacking,moderate,Until explicitly accessed by script window.globalThis is not enumerable and as a result is not visible to code such as Object.getOwnPropertyNames(window). Sites that deploy a sandboxing that depends on enumerating and freezing access to the window object may miss this allowing their sandboxes to be bypassed.,[1552632]
68,['CVE-2019-11715'],2019-28,HTML parsing error can contribute to content XSS,Linus Särud,moderate,Due to an error while parsing page content it is possible for properly sanitized user input to be misinterpreted and lead to XSS hazards on web sites in certain circumstances.,[1555523]
68,['CVE-2019-11729'],2019-28,Empty or malformed p256-ECDH public keys may trigger a segmentation fault,Jonas Allmann,moderate,Empty or malformed p256-ECDH public keys may trigger a segmentation fault due values being improperly sanitized before being copied into memory and used.,[1515342]
68,['CVE-2019-11714'],2019-28,NeckoChild can trigger crash when accessed off of main thread,Hanno Böck,moderate,Necko can access a child on the wrong thread during UDP connections resulting in a potentially exploitable crash in some instances.,[1542593]
68,['CVE-2019-11713'],2019-28,Use-after-free with HTTP/2 cached stream,Hanno Böck,high,A use-after-free vulnerability can occur in HTTP/2 when a cached HTTP/2 stream is closed while still in use resulting in a potentially exploitable crash.,[1528481]
60.09,['CVE-2019-11752'],2019-29,Use-after-free while extracting a key value in IndexedDB,Zhanjia Song,high,It is possible to delete an IndexedDB key value and subsequently try to extract it during conversion. This results in a use-after-free and a potentially exploitable crash.,[1501152]
60.09,['CVE-2019-11740'],2019-29,Memory safety bugs fixed in Firefox 69 Firefox ESR 68.1 Firefox ESR 60.9 Thunderbird 68.1 and Thunderbird 60.9,Mozilla developers and community,high,Mozilla developers and community members Tyson Smith and Nathan Froyd reported memory safety bugs present in Firefox 68 Firefox ESR 68 Firefox 60.8 Thunderbird 68 and Thunderbird 60.8. Some of these bugs showed evidence of memory corruption and we presume that with enough effort that some of these could be exploited to run arbitrary code.,"[1563133, 1573160]"
60.09,['CVE-2019-11743'],2019-29,Cross-origin access to unload event attributes,Yoav Weiss,moderate,"Navigation events were not fully adhering to the W3C's ""Navigation-Timing Level 2"" draft specification in some instances for the unload event which restricts access to detailed timing attributes to only be same-origin. This resulted in potential cross-origin information exposure of history through timing side-channel attacks.",[1560495]
60.09,['CVE-2019-11742'],2019-29,Same-origin policy violation with SVG filters and canvas to steal cross-origin images,Paul Stone,high,A same-origin policy violation occurs allowing the theft of cross-origin images through a combination of SVG filters and a <canvas> element due to an error in how same-origin policy is applied to cached image content. The resulting same-origin policy violation could allow for data theft.,[1559715]
60.09,['CVE-2019-11746'],2019-29,Use-after-free while manipulating video,Nils,high,A use-after-free vulnerability can occur while manipulating video elements if the body is freed while still in use. This results in a potentially exploitable crash.,[1564449]
60.09,['CVE-2019-11739'],2019-29,Covert Content Attack on S/MIME encryption using a crafted multipart/alternative message,"Jens Müller, Marcus Brinkmann, Damian Poddebniak, Sebastian Schinzel, Jörg Schwenk",high,Encrypted S/MIME parts in a crafted multipart/alternative message can leak plaintext when included in a a HTML reply/forward.,[1571481]
60.09,['CVE-2019-11744'],2019-29,XSS by breaking out of title and textarea elements using innerHTML,Rakesh Mane,high,Some HTML elements such as <title> and <textarea> can contain literal angle brackets without treating them as markup. It is possible to pass a literal closing tag to .innerHTML on these elements and subsequent content after that will be parsed as if it were outside the tag. This can lead to XSS if a site does not filter user input as strictly for these elements as it does for other elements.,[1562033]
60.08,['CVE-2019-11709'],2019-23,Memory safety bugs fixed in Firefox 68 Firefox ESR 60.8 and Thunderbird 60.8,Mozilla developers and community,critical,Mozilla developers and community members Andreea Pavel Christian Holler Honza Bambas Jason Kratzer and Jeff Gilbert reported memory safety bugs present in Firefox 67 Firefox ESR 60.7 and Thunderbird 60.7. Some of these bugs showed evidence of memory corruption and we presume that with enough effort that some of these could be exploited to run arbitrary code.,"[1547266, 1540759, 1548822, 1550498, 1515052, 1539219, 1547757, 1550498, 1533522]"
60.08,['CVE-2019-11719'],2019-23,Out-of-bounds read when importing curve25519 private key,Henry Corrigan-Gibbs,moderate,When importing a curve25519 private key in PKCS#8format with leading 0x00 bytes it is possible to trigger an out-of-bounds read in the Network Security Services (NSS) library. This could lead to information disclosure.,[1540541]
60.08,['CVE-2019-11711'],2019-23,Script injection within domain through inner window reuse,Boris Zbarsky,high,When an inner window is reused it does not consider the use of document.domain for cross-origin protections. If pages on different subdomains ever cooperatively use document.domain then either page can abuse this to inject script into arbitrary pages on the other subdomain even those that did not use document.domain to relax their origin security.,[1552541]
60.08,['CVE-2019-11712'],2019-23,Cross-origin POST requests can be made with NPAPI plugins by following 308 redirects,Gregory Smiley of Security Compass,high,POST requests made by NPAPI plugins such as Flash that receive a status 308 redirect response can bypass CORS requirements. This can allow an attacker to perform Cross-Site Request Forgery (CSRF) attacks.,[1543804]
60.08,['CVE-2019-11713'],2019-23,Use-after-free with HTTP/2 cached stream,Hanno Böck,high,A use-after-free vulnerability can occur in HTTP/2 when a cached HTTP/2 stream is closed while still in use resulting in a potentially exploitable crash.,[1528481]
60.08,['CVE-2019-11729'],2019-23,Empty or malformed p256-ECDH public keys may trigger a segmentation fault,Jonas Allmann,moderate,Empty or malformed p256-ECDH public keys may trigger a segmentation fault due values being improperly sanitized before being copied into memory and used.,[1515342]
60.08,['CVE-2019-11715'],2019-23,HTML parsing error can contribute to content XSS,Linus Särud,moderate,Due to an error while parsing page content it is possible for properly sanitized user input to be misinterpreted and lead to XSS hazards on web sites in certain circumstances.,[1555523]
60.08,['CVE-2019-11717'],2019-23,Caret character improperly escaped in origins,Tyson Smith,moderate,"A vulnerability exists where the caret (""^"") character is improperly escaped constructing some URIs due to it being used as a separator allowing for possible spoofing of origin attributes.",[1548306]
60.08,['CVE-2019-9811'],2019-23,Sandbox escape via installation of malicious language pack,Niklas Baumstark,high,As part of his winning Pwn2Own entry Niklas Baumstark demonstrated a sandbox escape by installing a malicious language pack and then opening a browser feature that used the compromised translation.,"[1538007, 1539598, 1563327]"
60.08,['CVE-2019-11730'],2019-23,Same-origin policy treats all files in a directory as having the same-origin,Luigi Gubello,moderate,A vulnerability exists where if a user opens a locally saved HTML file this file can use file: URIs to access other files in the same directory or sub-directories if the names are known or guessed. The Fetch API can then be used to read the contents of any files stored in these directories and they may uploaded to a server. Luigi Gubello demonstrated that in combination with a popular Android messaging app if a malicious HTML attachment is sent to a user and they opened that attachment in Firefox due to that app's predictable pattern for locally-saved file names it is possible to read attachments the victim received from other correspondents.,[1558299]
60.07,['CVE-2019-11691'],2019-15,Use-after-free in XMLHttpRequest,Nils,high,A use-after-free vulnerability can occur when working with XMLHttpRequest (XHR) in an event loop causing the XHR main thread to be called after it has been freed. This results in a potentially exploitable crash.,[1542465]
60.07,['CVE-2019-9820'],2019-15,Use-after-free of ChromeEventHandler by DocShell,Nils,high,A use-after-free vulnerability can occur in the chrome event handler when it is freed while still in use. This results in a potentially exploitable crash.,[1536405]
60.07,['CVE-2019-9819'],2019-15,Compartment mismatch with fetch API,Nils,high,A vulnerability where a JavaScript compartment mismatch can occur while working with the fetch API resulting in a potentially exploitable crash.,[1532553]
60.07,['CVE-2019-9818'],2019-15,Use-after-free in crash generation server,Thomas Imbert,high,A race condition is present in the crash generation server used to generate data for the crash reporter. This issue can lead to a use-after-free in the main process resulting in a potentially exploitable crash and a sandbox escape. Note: this vulnerability only affects Windows. Other operating systems are unaffected.,[1542581]
60.07,['CVE-2019-9817'],2019-15,Stealing of cross-domain images using canvas,Luật Nguyễn,high,Images from a different domain can be read using a canvas object in some circumstances. This could be used to steal image data from a different site in violation of same-origin policy.,[1540221]
60.07,['CVE-2019-11692'],2019-15,Use-after-free removing listeners in the event listener manager,Nils,high,A use-after-free vulnerability can occur when listeners are removed from the event listener manager while still in use resulting in a potentially exploitable crash.,[1544670]
60.07,['CVE-2019-9816'],2019-15,Type confusion with object groups and UnboxedObjects,Samuel Groß of Google Project Zero,high,A possible vulnerability exists where type confusion can occur when manipulating JavaScript objects in object groups allowing for the bypassing of security checks within these groups. Note: this vulnerability has only been demonstrated with UnboxedObjects which are disabled by default on all supported releases.,[1536768]
60.07,['CVE-2019-5798'],2019-15,Out-of-bounds read in Skia,Tran Tien Hung of Viettel Cyber Security,moderate,An out-of-bounds read can occur in the Skia library during path transformations. This could result in the exposure of data stored in memory.,[1535518]
60.07,['CVE-2019-11698'],2019-15,Theft of user history data through drag and drop of hyperlinks to and from bookmarks,Abdulrahman Alqabandi,moderate,If a crafted hyperlink is dragged and dropped to the bookmark bar or sidebar and the resulting bookmark is subsequently dragged and dropped into the web content area an arbitrary query of a user's browser history can be run and transmitted to the content page via drop event data. This allows for the theft of browser history by a malicious site.,[1543191]
60.07,['CVE-2019-9815'],2019-15,Disable hyperthreading on content JavaScript threads on macOS,Multiple independent researchers,high,If hyperthreading is not disabled a timing attack vulnerability exists similar to previous Spectre attacks. Apple has shipped macOS 10.14.5 with an option to disable hyperthreading in applications running untrusted code in a thread through a new sysctl. Firefox now makes use of it on the main thread and any worker threads. Note: users need to update to macOS 10.14.5 in order to take advantage of this change.,[1546544]
60.07,['CVE-2019-11693'],2019-15,Buffer overflow in WebGL bufferdata on Linux,crixer,high,The bufferdata function in WebGL is vulnerable to a buffer overflow with specific graphics drivers on Linux. This could result in malicious content freezing a tab or triggering a potentially exploitable crash. Note: this issue only occurs on Linux. Other operating systems are unaffected.,[1532525]
60.07,['CVE-2019-7317'],2019-15,Use-after-free in png_image_free of libpng library,"OSS-Fuzz, Eddie Lee",high,A use-after-free vulnerability was discovered in the png_image_free function in the libpng library. This could lead to denial of service or a potentially exploitable crash when a malformed image is processed.,[1542829]
60.07,['CVE-2019-9797'],2019-15,Cross-origin theft of images with createImageBitmap,AaylaSecura1138,high,Cross-origin images can be read in violation of the same-origin policy by exporting an image after using createImageBitmap to read the image and then rendering the resulting bitmap image within a canvas element.,[1528909]
60.07,['CVE-2018-18511'],2019-15,Cross-origin theft of images with ImageBitmapRenderingContext,AaylaSecura1138,high,Cross-origin images can be read from a canvas element in violation of the same-origin policy using the transferFromImageBitmap method.,[1526218]
60.07,['CVE-2019-11694'],2019-15,Uninitialized memory memory leakage in Windows sandbox,Jeremy Fetiveau of SSD Secure Disclosure,moderate,A vulnerability exists in the Windows sandbox where an uninitialized value in memory can be leaked to a renderer from a broker when making a call to access an otherwise unavailable file. This results in the potential leaking of information stored at that memory location. Note: this issue only occurs on Windows. Other operating systems are unaffected.,[1534196]
60.07,['CVE-2019-9800'],2019-15,Memory safety bugs fixed in Firefox 67 Firefox ESR 60.7 and Thunderbird 60.7,Mozilla developers and community,critical,Mozilla developers and community members Olli Pettay Bogdan Tara Jan de Mooij Jason Kratzer Jan Varga Gary Kwong Tim Guan-tin Chien Tyson Smith Ronald Crane and Ted Campbell reported memory safety bugs present in Firefox 66 Firefox ESR 60.6 and Thunderbird 60.6. Some of these bugs showed evidence of memory corruption and we presume that with enough effort that some of these could be exploited to run arbitrary code.,"[1540166, 1534593, 1546327, 1540136, 1538736, 1538042, 1535612, 1499719, 1499108, 1538619, 1535194, 1516325, 1542324, 1542097, 1532465, 1533554, 1541580]"
60.06,['CVE-2018-18506'],2019-11,Proxy Auto-Configuration file can define localhost access to be proxied,Jann Horn,moderate,When proxy auto-detection is enabled if a web server serves a Proxy Auto-Configuration (PAC) file or if a PAC file is loaded locally this PAC file can specify that requests to the localhost are to be sent through the proxy to another server. This behavior is disallowed by default when a proxy is manually configured but when enabled could allow for attacks on services and tools that bind to the localhost for networked behavior if they are accessed through browsing.,[1503393]
60.06,['CVE-2019-9788'],2019-11,Memory safety bugs fixed in Firefox 66 Firefox ESR 60.6 and Thunderbird 60.6,Mozilla developers and community,critical,Mozilla developers and community members Bob Clary Chun-Min Chang Aral Yaman Andreea Pavel Jonathan Kew Gary Kwong Alex Gaynor Masayuki Nakano and Anne van Kesteren reported memory safety bugs present in Firefox 65 Firefox ESR 60.5 and Thunderbird 60.5. Some of these bugs showed evidence of memory corruption and we presume that with enough effort that some of these could be exploited to run arbitrary code.,"[1518001, 1521304, 1521214, 1506665, 1516834, 1518774, 1524755, 1523362, 1524214, 1529203]"
60.06,['CVE-2019-9790'],2019-11,Use-after-free when removing in-use DOM elements,Brandon Wieser,critical,A use-after-free vulnerability can occur when a raw pointer to a DOM element on a page is obtained using JavaScript and the element is then removed while still in use. This results in a potentially exploitable crash.,[1525145]
60.06,['CVE-2019-9792'],2019-11,IonMonkey leaks JS_OPTIMIZED_OUT magic value to script,Samuel Groß of Google Project Zero,critical,The IonMonkey just-in-time (JIT) compiler can leak an internal JS_OPTIMIZED_OUT magic value to the running script during a bailout. This magic value can then be used by JavaScript to achieve memory corruption which results in a potentially exploitable crash.,[1532599]
60.06,['CVE-2019-9793'],2019-11,Improper bounds checks when Spectre mitigations are disabled,Bruno Keith & Niklas Baumstark from the phoenhex team,high,A mechanism was discovered that removes some bounds checking for string array or typed array accesses if Spectre mitigations have been disabled. This vulnerability could allow an attacker to create an arbitrary value in compiled JavaScript for which the range analysis will infer a fully controlled incorrect range in circumstances where users have explicitly disabled Spectre mitigations.  Note: Spectre mitigations are currently enabled for all users by default settings.,[1528829]
60.06,['CVE-2019-9794'],2019-11,Command line arguments not discarded during execution,Joshua Graham,high,A vulnerability was discovered where specific command line arguments are not properly discarded during Firefox invocation as a shell handler for URLs. This could be used to retrieve and execute files whose location is supplied through these command line arguments if Firefox is configured as the default URI handler for a given URI scheme in third party applications and these applications insufficiently sanitize URL data.  Note: This issue only affects Windows operating systems. Other operating systems are unaffected.,[1530103]
60.06,['CVE-2019-9795'],2019-11,Type-confusion in IonMonkey JIT compiler,Nils,high,A vulnerability where type-confusion in the IonMonkey just-in-time (JIT) compiler could potentially be used by malicious JavaScript to trigger a potentially exploitable crash.,[1514682]
60.06,['CVE-2019-9796'],2019-11,Use-after-free with SMIL animation controller,Nils,high,A use-after-free vulnerability can occur when the SMIL animation controller incorrectly registers with the refresh driver twice when only a single registration is expected. When a registration is later freed with the removal of the animation controller element the refresh driver incorrectly leaves a dangling pointer to the driver's observer array.,[1531277]
60.06,['CVE-2019-9801'],2019-11,Windows programs that are not 'URL Handlers' are exposed to web content,Daniel Veditz,moderate,"Firefox will accept any registered Program ID as an external protocol handler and offer to launch this local application when given a matching URL on Windows operating systems. This should only happen if the program has specifically registered itself as a ""URL Handler"" in the Windows registry.  Note: This issue only affects Windows operating systems. Other operating systems are unaffected.",[1527717]
60.06,['CVE-2019-9791'],2019-11,Type inference is incorrect for constructors entered through on-stack replacement with IonMonkey,Samuel Groß of Google Project Zero,critical,The type inference system allows the compilation of functions that can cause type confusions between arbitrary objects when compiled through the IonMonkey just-in-time (JIT) compiler and when the constructor function is entered through on-stack replacement (OSR). This allows for possible arbitrary reading and writing of objects during an exploitable crash.,[1530958]
60.05,['CVE-2018-18513'],2019-03,DOS and crash with crafted S/MIME message or XPI package,"Hanno Böck, Damian Poddebniak",moderate,A crash can occur when processing a crafted S/MIME message or an XPI package containing a crafted signature. This can be used as a denial-of-service (DOS) attack because Thunderbird reopens the last seen message on restart triggering the crash again.,[1533300]
60.05,['CVE-2018-18501'],2019-03,Memory safety bugs fixed in Firefox 65 Firefox ESR 60.5 and Thunderbird 60.5,Mozilla developers and community,critical,Mozilla developers and community members Alex Gaynor Christoph Diehl Steven Crane Jason Kratzer Gary Kwong and Christian Holler reported memory safety bugs present in Firefox 64 Firefox ESR 60.4 and Thunderbird 60.4. Some of these bugs showed evidence of memory corruption and we presume that with enough effort that some of these could be exploited to run arbitrary code.,"[1512450, 1517542, 1513201, 1460619, 1502871, 1516738, 1516514]"
60.05,['CVE-2018-18500'],2019-03,Use-after-free parsing HTML5 stream,Yaniv Frank with SophosLabs,critical,A use-after-free vulnerability can occur while parsing an HTML5 stream in concert with custom HTML elements. This results in the stream parser object being freed while still in use leading to a potentially exploitable crash.,[1510114]
60.05,['CVE-2018-18505'],2019-03,Privilege escalation through IPC channel messages,Jed Davis,high,An earlier fix for an Inter-process Communication (IPC) vulnerability CVE-2011-3079 added authentication to communication between IPC endpoints and server parents during IPC process creation. This authentication is insufficient for channels created after the IPC process is started leading to the authentication not being correctly applied to later channels. This could allow for a sandbox escape through IPC channels due to lack of message validation in the listener process.,"[1497749, 1087565]"
60.05,['CVE-2018-18512'],2019-03,Use-after-free during sound notifications,Wayne Mery,high,A use-after-free vulnerability can occur while playing a sound notification in Thunderbird. The memory storing the sound data is immediately freed although the sound is still being played asynchronously leading to a potentially exploitable crash.,[1482659]
60.05,['CVE-2016-5824'],2019-03,DoS (use-after-free) via a crafted ics file,Brandon Perry,low,A vulnerability in the Libical libary used by Thunderbird can allow remote attackers to cause a denial of service (use-after-free) via a crafted ICS calendar file.,[1275400]
60.04,['CVE-2018-17466'],2018-31,Buffer overflow and out-of-bounds read in ANGLE library with TextureStorage11,Omair,high,A buffer overflow and out-of-bounds read can occur in TextureStorage11 within the ANGLE graphics library used for WebGL content. This results in a potentially exploitable crash.,[1488295]
60.04,['CVE-2018-18492'],2018-31,Use-after-free with select element,Nils,high,A use-after-free vulnerability can occur after deleting a selection element due to a weak reference to the select element in the options collection. This results in a potentially exploitable crash.,[1499861]
60.04,['CVE-2018-18493'],2018-31,Buffer overflow in accelerated 2D canvas with Skia,Atte Kettunen,high,A buffer overflow can occur in the Skia library during buffer offset calculations with hardware accelerated canvas 2D actions due to the use of 32-bit calculations instead of 64-bit. This results in a potentially exploitable crash.,[1504452]
60.04,['CVE-2018-18494'],2018-31,Same-origin policy violation using location attribute and performance.getEntries to steal cross-origin URLs,James Lee of Kryptos Logic,high,A same-origin policy violation allowing the theft of cross-origin URL entries when using the Javascript location property to cause a redirection to another site using performance.getEntries(). This is a same-origin policy violation and could allow for data theft.,[1487964]
60.04,['CVE-2018-18498'],2018-31,Integer overflow when calculating buffer sizes for images,R at Zero Day LLC,low,A potential vulnerability leading to an integer overflow can occur during buffer size calculations for images when a raw value is used instead of the checked value. This leads to a possible out-of-bounds write.,[1500011]
60.04,['CVE-2018-12405'],2018-31,Memory safety bugs fixed in Firefox 64 Firefox ESR 60.4 and Thunderbird 60.4,Mozilla developers and community,critical,Mozilla developers and community members Christian Holler Diego Calleja Andrew McCreight Jon Coppeard Jed Davis Natalia Csoregi Nicolas B. Pierron and Tyson Smith reported memory safety bugs present in Firefox 63 and Firefox ESR 60.3. Some of these bugs showed evidence of memory corruption and we presume that with enough effort that some of these could be exploited to run arbitrary code.,"[1494752, 1498765, 1503326, 1505181, 1500759, 1504365, 1506640, 1503082, 1502013, 1510471]"
60.03,['CVE-2018-12390'],2018-28,Memory safety bugs fixed in Firefox 63 Firefox ESR 60.3 and Thunderbird 60.3,Mozilla developers and community,critical,Mozilla developers and community members Christian Holler Bob Owen Boris Zbarsky Calixte Denizet Jason Kratzer Jed Davis Taegeon Lee Philipp Ronald Crane Raul Gurzau Gary Kwong Tyson Smith Raymond Forbes and Bogdan Tara reported memory safety bugs present in Firefox 62 and Firefox ESR 60.2. Some of these bugs showed evidence of memory corruption and we presume that with enough effort that some of these could be exploited to run arbitrary code.,"[1487098, 1487660, 1490234, 1496159, 1443748, 1496340, 1483905, 1493347, 1488803, 1498701, 1498482, 1442010, 1495245, 1483699, 1469486, 1484905, 1490561, 1492524, 1481844]"
60.03,['CVE-2018-12389'],2018-28,Memory safety bugs fixed in Firefox ESR 60.3 and Thunderbird 60.3,Mozilla developers and community,low,Mozilla developers and community members Daniel Veditz and Philipp reported memory safety bugs present in Firefox ESR 60.2. Some of these bugs showed evidence of memory corruption and we presume that with enough effort that some of these could be exploited to run arbitrary code.,"[1498460, 1499198]"
60.03,['CVE-2018-12393'],2018-28,Integer overflow during Unicode conversion while loading JavaScript,R at Zero Day LLC,high,A potential vulnerability was found in 32-bit builds where an integer overflow during the conversion of scripts to an internal UTF-16 representation could result in allocating a buffer too small for the conversion. This leads to a possible out-of-bounds write. Note: 64-bit builds are not vulnerable to this issue.,[1495011]
60.03,['CVE-2018-12392'],2018-28,Crash with nested event loops,Nils,high,When manipulating user events in nested loops while opening a document through script it is possible to trigger a potentially exploitable crash due to poor event handling.,[1492823]
60.03,['CVE-2018-12391'],2018-28,HTTP Live Stream audio data is accessible cross-origin,Jun Kokatsu,high,During HTTP Live Stream playback on Firefox for Android audio data can be accessed across origins in violation of security policies. Because the problem is in the underlying Android service this issue is addressed by treating all HLS streams as cross-origin and opaque to access. Note: this issue only affects Firefox for Android. Desktop versions of Firefox are unaffected.,[1478843]
60.02,['CVE-2019-11707'],2019-20,Type confusion in Array.pop,"Samuel Groß of Google Project Zero, Coinbase Security",critical,A type confusion vulnerability can occur when manipulating JavaScript objects due to issues in Array.pop. This can allow for an exploitable crash. We are aware of targeted attacks in the wild abusing this flaw.,[1544386]
60.02,['CVE-2019-11708'],2019-20,sandbox escape using Prompt:Open,Coinbase Security,high,Insufficient vetting of parameters passed with the Prompt:Open IPC message between child and parent processes can result in the non-sandboxed parent process opening web content chosen by a compromised child process. When combined with additional vulnerabilities this could result in executing arbitrary code on the user's computer.,[1559858]
