cve_id,description
CVE-2021-29948,Signatures are written to disk before and read during verification which might be subject to a race condition when a malicious local process or user is replacing the file. This vulnerability affects Thunderbird < 78.10.
CVE-2021-29947,Mozilla developers and community members reported memory safety bugs present in Firefox 87. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code. This vulnerability affects Firefox < 88.
CVE-2021-29946,Ports that were written as an integer overflow above the bounds of a 16-bit integer could have bypassed port blocking restrictions when used in the Alt-Svc header. This vulnerability affects Firefox ESR < 78.10 Thunderbird < 78.10 and Firefox < 88.
CVE-2021-29945,The WebAssembly JIT could miscalculate the size of a return type which could lead to a null read and result in a crash. *Note: This issue only affected x86-32 platforms. Other platforms are unaffected.*. This vulnerability affects Firefox ESR < 78.10 Thunderbird < 78.10 and Firefox < 88.
CVE-2021-29944,Lack of escaping allowed HTML injection when a webpage was viewed in Reader View. While a Content Security Policy prevents direct code execution HTML injection is still possible. *Note: This issue only affected Firefox for Android. Other operating systems are unaffected.*. This vulnerability affects Firefox < 88.
CVE-2021-24002,When a user clicked on an FTP URL containing encoded newline characters (%0A and %0D) the newlines would have been interpreted as such and allowed arbitrary commands to be sent to the FTP server. This vulnerability affects Firefox ESR < 78.10 Thunderbird < 78.10 and Firefox < 88.
CVE-2021-24001,A compromised content process could have performed session history manipulations it should not have been able to due to testing infrastructure that was not restricted to testing-only configurations. This vulnerability affects Firefox < 88.
CVE-2021-24000,"A race condition with requestPointerLock() and setTimeout() could have resulted in a user interacting with one tab when they believed they were on a separate tab. In conjunction with certain elements (such as &lt;input type=""file""&gt;) this could have led to an attack where a user was confused about the origin of the webpage and potentially disclosed information they did not intend to. This vulnerability affects Firefox < 88."
CVE-2021-23999,If a Blob URL was loaded through some unusual user interaction it could have been loaded by the System Principal and granted additional privileges that should not be granted to web content. This vulnerability affects Firefox ESR < 78.10 Thunderbird < 78.10 and Firefox < 88.
CVE-2021-23998,Through complicated navigations with new windows an HTTP page could have inherited a secure lock icon from an HTTPS page. This vulnerability affects Firefox ESR < 78.10 Thunderbird < 78.10 and Firefox < 88.
CVE-2021-23997,Due to unexpected data type conversions a use-after-free could have occurred when interacting with the font cache. We presume that with enough effort this could have been exploited to run arbitrary code. This vulnerability affects Firefox < 88.
CVE-2021-23996,By utilizing 3D CSS in conjunction with Javascript content could have been rendered outside the webpage's viewport resulting in a spoofing attack that could have been used for phishing or other attacks on a user. This vulnerability affects Firefox < 88.
CVE-2021-23995,When Responsive Design Mode was enabled it used references to objects that were previously freed. We presume that with enough effort this could have been exploited to run arbitrary code. This vulnerability affects Firefox ESR < 78.10 Thunderbird < 78.10 and Firefox < 88.
CVE-2021-23994,A WebGL framebuffer was not initialized early enough resulting in memory corruption and an out of bound write. This vulnerability affects Firefox ESR < 78.10 Thunderbird < 78.10 and Firefox < 88.
CVE-2021-23993,An attacker may perform a DoS attack to prevent a user from sending encrypted email to a correspondent. If an attacker creates a crafted OpenPGP key with a subkey that has an invalid self signature and the Thunderbird user imports the crafted key then Thunderbird may try to use the invalid subkey but the RNP library rejects it from being used causing encryption to fail. This vulnerability affects Thunderbird < 78.9.1.
CVE-2021-23992,Thunderbird did not check if the user ID associated with an OpenPGP key has a valid self signature. An attacker may create a crafted version of an OpenPGP key by either replacing the original user ID or by adding another user ID. If Thunderbird imports and accepts the crafted key the Thunderbird user may falsely conclude that the false user ID belongs to the correspondent. This vulnerability affects Thunderbird < 78.9.1.
CVE-2021-23991,If a Thunderbird user has previously imported Alice's OpenPGP key and Alice has extended the validity period of her key but Alice's updated key has not yet been imported an attacker may send an email containing a crafted version of Alice's key with an invalid subkey Thunderbird might subsequently attempt to use the invalid subkey and will fail to send encrypted email to Alice. This vulnerability affects Thunderbird < 78.9.1.
CVE-2021-23988,Mozilla developers reported memory safety bugs present in Firefox 86. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code. This vulnerability affects Firefox < 87.
CVE-2021-23987,Mozilla developers and community members reported memory safety bugs present in Firefox 86 and Firefox ESR 78.8. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code. This vulnerability affects Firefox ESR < 78.9 Firefox < 87 and Thunderbird < 78.9.
CVE-2021-23986,A malicious extension with the 'search' permission could have installed a new search engine whose favicon referenced a cross-origin URL. The response to this cross-origin request could have been read by the extension allowing a same-origin policy bypass by the extension which should not have cross-origin permissions. This cross-origin request was made without cookies so the sensitive information disclosed by the violation was limited to local-network resources or resources that perform IP-based authentication. This vulnerability affects Firefox < 87.
CVE-2021-23985,If an attacker is able to alter specific about:config values (for example malware running on the user's computer) the Devtools remote debugging feature could have been enabled in a way that was unnoticable to the user. This would have allowed a remote attacker (able to make a direct network connection to the victim) to monitor the user's browsing activity and (plaintext) network traffic. This was addressed by providing a visual cue when Devtools has an open network socket. This vulnerability affects Firefox < 87.
CVE-2021-23984,A malicious extension could have opened a popup window lacking an address bar. The title of the popup lacking an address bar should not be fully controllable but in this situation was. This could have been used to spoof a website and attempt to trick the user into providing credentials. This vulnerability affects Firefox ESR < 78.9 Firefox < 87 and Thunderbird < 78.9.
CVE-2021-23983,By causing a transition on a parent node by removing a CSS rule an invalid property for a marker could have been applied resulting in memory corruption and a potentially exploitable crash. This vulnerability affects Firefox < 87.
CVE-2021-23982,Using techniques that built on the slipstream research a malicious webpage could have scanned both an internal network's hosts as well as services running on the user's local machine utilizing WebRTC connections. This vulnerability affects Firefox ESR < 78.9 Firefox < 87 and Thunderbird < 78.9.
CVE-2021-23981,A texture upload of a Pixel Buffer Object could have confused the WebGL code to skip binding the buffer used to unpack it resulting in memory corruption and a potentially exploitable information leak or crash. This vulnerability affects Firefox ESR < 78.9 Firefox < 87 and Thunderbird < 78.9.
CVE-2021-23979,Mozilla developers reported memory safety bugs present in Firefox 85. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code. This vulnerability affects Firefox < 86.
CVE-2021-23978,Mozilla developers reported memory safety bugs present in Firefox 85 and Firefox ESR 78.7. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code. This vulnerability affects Firefox < 86 Thunderbird < 78.8 and Firefox ESR < 78.8.
CVE-2021-23977,Firefox for Android suffered from a time-of-check-time-of-use vulnerability that allowed a malicious application to read sensitive data from application directories. Note: This issue is only affected Firefox for Android. Other operating systems are unaffected. This vulnerability affects Firefox < 86.
CVE-2021-23976,When accepting a malicious intent from other installed apps Firefox for Android accepted manifests from arbitrary file paths and allowed declaring webapp manifests for other origins. This could be used to gain fullscreen access for UI spoofing and could also lead to cross-origin attacks on targeted websites. Note: This issue is a different issue from CVE-2020-26954 and only affected Firefox for Android. Other operating systems are unaffected. This vulnerability affects Firefox < 86.
CVE-2021-23975,The developer page about:memory has a Measure function for exploring what object types the browser has allocated and their sizes. When this function was invoked we incorrectly called the sizeof function instead of using the API method that checks for invalid pointers. This vulnerability affects Firefox < 86.
CVE-2021-23974,The DOMParser API did not properly process '<noscript>' elements for escaping. This could be used as an mXSS vector to bypass an HTML Sanitizer. This vulnerability affects Firefox < 86.
CVE-2021-23973,When trying to load a cross-origin resource in an audio/video context a decoding error may have resulted and the content of that error may have revealed information about the resource. This vulnerability affects Firefox < 86 Thunderbird < 78.8 and Firefox ESR < 78.8.
CVE-2021-23972,One phishing tactic on the web is to provide a link with HTTP Auth. For example 'https://www.phishingtarget.com@evil.com'. To mitigate this type of attack Firefox will display a warning dialog; however this warning dialog would not have been displayed if evil.com used a redirect that was cached by the browser. This vulnerability affects Firefox < 86.
CVE-2021-23971,When processing a redirect with a conflicting Referrer-Policy Firefox would have adopted the redirect's Referrer-Policy. This would have potentially resulted in more information than intended by the original origin being provided to the destination of the redirect. This vulnerability affects Firefox < 86.
CVE-2021-23970,Context-specific code was included in a shared jump table; resulting in assertions being triggered in multithreaded wasm code. This vulnerability affects Firefox < 86.
CVE-2021-23969,"As specified in the W3C Content Security Policy draft when creating a violation report ""User agents need to ensure that the source file is the URL requested by the page pre-redirects. If that&#8217;s not possible user agents need to strip the URL down to an origin to avoid unintentional leakage."" Under certain types of redirects Firefox incorrectly set the source file to be the destination of the redirects. This was fixed to be the redirect destination's origin. This vulnerability affects Firefox < 86 Thunderbird < 78.8 and Firefox ESR < 78.8."
CVE-2021-23968,If Content Security Policy blocked frame navigation the full destination of a redirect served in the frame was reported in the violation report; as opposed to the original frame URI. This could be used to leak sensitive information contained in such URIs. This vulnerability affects Firefox < 86 Thunderbird < 78.8 and Firefox ESR < 78.8.
CVE-2021-23965,Mozilla developers reported memory safety bugs present in Firefox 84. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code. This vulnerability affects Firefox < 85.
CVE-2021-23964,Mozilla developers reported memory safety bugs present in Firefox 84 and Firefox ESR 78.6. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code. This vulnerability affects Firefox < 85 Thunderbird < 78.7 and Firefox ESR < 78.7.
CVE-2021-23963,When sharing geolocation during an active WebRTC share Firefox could have reset the webRTC sharing state in the user interface leading to loss of control over the currently granted permission. This vulnerability affects Firefox < 85.
CVE-2021-23962,Incorrect use of the '<RowCountChanged>' method could have led to a user-after-poison and a potentially exploitable crash. This vulnerability affects Firefox < 85.
CVE-2021-23961,Further techniques that built on the slipstream research combined with a malicious webpage could have exposed both an internal network's hosts as well as services running on the user's local machine. This vulnerability affects Firefox < 85.
CVE-2021-23960,Performing garbage collection on re-declared JavaScript variables resulted in a user-after-poison and a potentially exploitable crash. This vulnerability affects Firefox < 85 Thunderbird < 78.7 and Firefox ESR < 78.7.
CVE-2021-23959,An XSS bug in internal error pages could have led to various spoofing attacks including other error pages and the address bar. Note: This issue only affected Firefox for Android. Other operating systems are unaffected. This vulnerability affects Firefox < 85.
CVE-2021-23958,The browser could have been confused into transferring a screen sharing state into another tab which would leak unintended information. This vulnerability affects Firefox < 85.
CVE-2021-23957,Navigations through the Android-specific `intent` URL scheme could have been misused to escape iframe sandbox. Note: This issue only affected Firefox for Android. Other operating systems are unaffected. This vulnerability affects Firefox < 85.
CVE-2021-23956,An ambiguous file picker design could have confused users who intended to select and upload a single file into uploading a whole directory. This was addressed by adding a new prompt. This vulnerability affects Firefox < 85.
CVE-2021-23955,The browser could have been confused into transferring a pointer lock state into another tab which could have lead to clickjacking attacks. This vulnerability affects Firefox < 85.
CVE-2021-23954,Using the new logical assignment operators in a JavaScript switch statement could have caused a type confusion leading to a memory corruption and a potentially exploitable crash. This vulnerability affects Firefox < 85 Thunderbird < 78.7 and Firefox ESR < 78.7.
CVE-2021-23953,If a user clicked into a specifically crafted PDF the PDF reader could be confused into leaking cross-origin information when said information is served as chunked data. This vulnerability affects Firefox < 85 Thunderbird < 78.7 and Firefox ESR < 78.7.
CVE-2020-6831,A buffer overflow could occur when parsing and validating SCTP chunks in WebRTC. This could have led to memory corruption and a potentially exploitable crash. This vulnerability affects Firefox ESR < 68.8 Firefox < 76 and Thunderbird < 68.8.0.
CVE-2020-6829,When performing EC scalar point multiplication the wNAF point multiplication algorithm was used; which leaked partial information about the nonce used during signature generation. Given an electro-magnetic trace of a few signature generations the private key could have been computed. This vulnerability affects Firefox < 80 and Firefox for Android < 80.
CVE-2020-6828,A malicious Android application could craft an Intent that would have been processed by Firefox for Android and potentially result in a file overwrite in the user's profile directory. One exploitation vector for this would be to supply a user.js file providing arbitrary malicious preference values. Control of arbitrary preferences can lead to sufficient compromise such that it is generally equivalent to arbitrary code execution.<br> *Note: This issue only affects Firefox for Android. Other operating systems are unaffected.*. This vulnerability affects Firefox ESR < 68.7.
CVE-2020-6827,When following a link that opened an intent://-schemed URL causing a custom tab to be opened Firefox for Android could be tricked into displaying the incorrect URI. <br> *Note: This issue only affects Firefox for Android. Other operating systems are unaffected.*. This vulnerability affects Firefox ESR < 68.7.
CVE-2020-6826,Mozilla developers Tyson Smith Bob Clary and Alexandru Michis reported memory safety bugs present in Firefox 74. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code. This vulnerability affects Firefox < 75.
CVE-2020-6825,Mozilla developers and community members Tyson Smith and Christian Holler reported memory safety bugs present in Firefox 74 and Firefox ESR 68.6. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code. This vulnerability affects Thunderbird < 68.7.0 Firefox ESR < 68.7 and Firefox < 75.
CVE-2020-6824,Initially a user opens a Private Browsing Window and generates a password for a site then closes the Private Browsing Window but leaves Firefox open. Subsequently if the user had opened a new Private Browsing Window revisited the same site and generated a new password - the generated passwords would have been identical rather than independent. This vulnerability affects Firefox < 75.
CVE-2020-6823,A malicious extension could have called <code>browser.identity.launchWebAuthFlow</code> controlling the redirect_uri and through the Promise returned obtain the Auth code and gain access to the user's account at the service provider. This vulnerability affects Firefox < 75.
CVE-2020-6822,On 32-bit builds an out of bounds write could have occurred when processing an image larger than 4 GB in <code>GMPDecodeData</code>. It is possible that with enough effort this could have been exploited to run arbitrary code. This vulnerability affects Thunderbird < 68.7.0 Firefox ESR < 68.7 and Firefox < 75.
CVE-2020-6821,When reading from areas partially or fully outside the source resource with WebGL's <code>copyTexSubImage</code> method the specification requires the returned values be zero. Previously this memory was uninitialized leading to potentially sensitive data disclosure. This vulnerability affects Thunderbird < 68.7.0 Firefox ESR < 68.7 and Firefox < 75.
CVE-2020-6820,Under certain conditions when handling a ReadableStream a race condition can cause a use-after-free. We are aware of targeted attacks in the wild abusing this flaw. This vulnerability affects Thunderbird < 68.7.0 Firefox < 74.0.1 and Firefox ESR < 68.6.1.
CVE-2020-6819,Under certain conditions when running the nsDocShell destructor a race condition can cause a use-after-free. We are aware of targeted attacks in the wild abusing this flaw. This vulnerability affects Thunderbird < 68.7.0 Firefox < 74.0.1 and Firefox ESR < 68.6.1.
CVE-2020-6815,Mozilla developers reported memory safety and script safety bugs present in Firefox 73. Some of these bugs showed evidence of memory corruption or escalation of privilege and we presume that with enough effort some of these could have been exploited to run arbitrary code. This vulnerability affects Firefox < 74.
CVE-2020-6814,Mozilla developers reported memory safety bugs present in Firefox and Thunderbird 68.5. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code. This vulnerability affects Thunderbird < 68.6 Firefox < 74 Firefox < ESR68.6 and Firefox ESR < 68.6.
CVE-2020-6813,When protecting CSS blocks with the nonce feature of Content Security Policy the @import statement in the CSS block could allow an attacker to inject arbitrary styles bypassing the intent of the Content Security Policy. This vulnerability affects Firefox < 74.
CVE-2020-6812,The first time AirPods are connected to an iPhone they become named after the user's name by default (e.g. Jane Doe's AirPods.) Websites with camera or microphone permission are able to enumerate device names disclosing the user's name. To resolve this issue Firefox added a special case that renames devices containing the substring 'AirPods' to simply 'AirPods'. This vulnerability affects Thunderbird < 68.6 Firefox < 74 Firefox < ESR68.6 and Firefox ESR < 68.6.
CVE-2020-6811,The 'Copy as cURL' feature of Devtools' network tab did not properly escape the HTTP method of a request which can be controlled by the website. If a user used the 'Copy as Curl' feature and pasted the command into a terminal it could have resulted in command injection and arbitrary command execution. This vulnerability affects Thunderbird < 68.6 Firefox < 74 Firefox < ESR68.6 and Firefox ESR < 68.6.
CVE-2020-6810,After a website had entered fullscreen mode it could have used a previously opened popup to obscure the notification that indicates the browser is in fullscreen mode. Combined with spoofing the browser chrome this could have led to confusing the user about the current origin of the page and credential theft or other attacks. This vulnerability affects Firefox < 74.
CVE-2020-6809,When a Web Extension had the all-urls permission and made a fetch request with a mode set to 'same-origin' it was possible for the Web Extension to read local files. This vulnerability affects Firefox < 74.
CVE-2020-6808,When a JavaScript URL (javascript:) is evaluated and the result is a string this string is parsed to create an HTML document which is then presented. Previously this document's URL (as reported by the document.location property for example) was the originating javascript: URL which could lead to spoofing attacks; it is now correctly the URL of the originating document. This vulnerability affects Firefox < 74.
CVE-2020-6807,When a device was changed while a stream was about to be destroyed the <code>stream-reinit</code> task may have been executed after the stream was destroyed causing a use-after-free and a potentially exploitable crash. This vulnerability affects Thunderbird < 68.6 Firefox < 74 Firefox < ESR68.6 and Firefox ESR < 68.6.
CVE-2020-6806,By carefully crafting promise resolutions it was possible to cause an out-of-bounds read off the end of an array resized during script execution. This could have led to memory corruption and a potentially exploitable crash. This vulnerability affects Thunderbird < 68.6 Firefox < 74 Firefox < ESR68.6 and Firefox ESR < 68.6.
CVE-2020-6805,When removing data about an origin whose tab was recently closed a use-after-free could occur in the Quota manager resulting in a potentially exploitable crash. This vulnerability affects Thunderbird < 68.6 Firefox < 74 Firefox < ESR68.6 and Firefox ESR < 68.6.
CVE-2020-6801,Mozilla developers reported memory safety bugs present in Firefox 72. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code. This vulnerability affects Firefox < 73.
CVE-2020-6800,Mozilla developers and community members reported memory safety bugs present in Firefox 72 and Firefox ESR 68.4. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code. In general these flaws cannot be exploited through email in the Thunderbird product because scripting is disabled when reading mail but are potentially risks in browser or browser-like contexts. This vulnerability affects Thunderbird < 68.5 Firefox < 73 and Firefox < ESR68.5.
CVE-2020-6799,Command line arguments could have been injected during Firefox invocation as a shell handler for certain unsupported file types. This required Firefox to be configured as the default handler for a given file type and for a file downloaded to be opened in a third party application that insufficiently sanitized URL data. In that situation clicking a link in the third party application could have been used to retrieve and execute files whose location was supplied through command line arguments. Note: This issue only affects Windows operating systems and when Firefox is configured as the default handler for non-default filetypes. Other operating systems are unaffected. This vulnerability affects Firefox < 73 and Firefox < ESR68.5.
CVE-2020-6798,If a template tag was used in a select tag the parser could be confused and allow JavaScript parsing and execution when it should not be allowed. A site that relied on the browser behaving correctly could suffer a cross-site scripting vulnerability as a result. In general this flaw cannot be exploited through email in the Thunderbird product because scripting is disabled when reading mail but is potentially a risk in browser or browser-like contexts. This vulnerability affects Thunderbird < 68.5 Firefox < 73 and Firefox < ESR68.5.
CVE-2020-6797,By downloading a file with the .fileloc extension a semi-privileged extension could launch an arbitrary application on the user's computer. The attacker is restricted as they are unable to download non-quarantined files or supply command line arguments to the application limiting the impact. Note: this issue only occurs on Mac OSX. Other operating systems are unaffected. This vulnerability affects Thunderbird < 68.5 Firefox < 73 and Firefox < ESR68.5.
CVE-2020-6796,A content process could have modified shared memory relating to crash reporting information crash itself and cause an out-of-bound write. This could have caused memory corruption and a potentially exploitable crash. This vulnerability affects Firefox < 73 and Firefox < ESR68.5.
CVE-2020-6795,When processing a message that contains multiple S/MIME signatures a bug in the MIME processing code caused a null pointer dereference leading to an unexploitable crash. This vulnerability affects Thunderbird < 68.5.
CVE-2020-6794,If a user saved passwords before Thunderbird 60 and then later set a master password an unencrypted copy of these passwords is still accessible. This is because the older stored password file was not deleted when the data was copied to a new format starting in Thunderbird 60. The new master password is added only on the new file. This could allow the exposure of stored password data outside of user expectations. This vulnerability affects Thunderbird < 68.5.
CVE-2020-6793,When processing an email message with an ill-formed envelope Thunderbird could read data from a random memory location. This vulnerability affects Thunderbird < 68.5.
CVE-2020-6792,When deriving an identifier for an email message uninitialized memory was used in addition to the message contents. This vulnerability affects Thunderbird < 68.5.
CVE-2020-6514,Inappropriate implementation in WebRTC in Google Chrome prior to 84.0.4147.89 allowed an attacker in a privileged network position to potentially exploit heap corruption via a crafted SCTP stream.
CVE-2020-6463,Use after free in ANGLE in Google Chrome prior to 81.0.4044.122 allowed a remote attacker to potentially exploit heap corruption via a crafted HTML page.
CVE-2020-35114,Mozilla developers reported memory safety bugs present in Firefox 83. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code. This vulnerability affects Firefox < 84.
CVE-2020-35113,Mozilla developers reported memory safety bugs present in Firefox 83 and Firefox ESR 78.5. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code. This vulnerability affects Firefox < 84 Thunderbird < 78.6 and Firefox ESR < 78.6.
CVE-2020-35112,"If a user downloaded a file lacking an extension on Windows and then ""Open""-ed it from the downloads panel if there was an executable file in the downloads directory with the same name but with an executable extension (such as .bat or .exe) that executable would have been launched instead. *Note: This issue only affected Windows operating systems. Other operating systems are unaffected.*. This vulnerability affects Firefox < 84 Thunderbird < 78.6 and Firefox ESR < 78.6."
CVE-2020-35111,When an extension with the proxy permission registered to receive <all_urls> the proxy.onRequest callback was not triggered for view-source URLs. While web content cannot navigate to such URLs a user opening View Source could have inadvertently leaked their IP address. This vulnerability affects Firefox < 84 Thunderbird < 78.6 and Firefox ESR < 78.6.
CVE-2020-26979,When a user typed a URL in the address bar or the search bar and quickly hit the enter key a website could sometimes capture that event and then redirect the user before navigation occurred to the desired entered address. To construct a convincing spoof the attacker would have had to guess what the user was typing perhaps by suggesting it. This vulnerability affects Firefox < 84.
CVE-2020-26978,Using techniques that built on the slipstream research a malicious webpage could have exposed both an internal network's hosts as well as services running on the user's local machine. This vulnerability affects Firefox < 84 Thunderbird < 78.6 and Firefox ESR < 78.6.
CVE-2020-26977,By attempting to connect a website using an unresponsive port an attacker could have controlled the content of a tab while the URL bar displayed the original domain. *Note: This issue only affects Firefox for Android. Other operating systems are unaffected.*. This vulnerability affects Firefox < 84.
CVE-2020-26976,When a HTTPS pages was embedded in a HTTP page and there was a service worker registered for the former the service worker could have intercepted the request for the secure page despite the iframe not being a secure context due to the (insecure) framing. This vulnerability affects Firefox < 84.
CVE-2020-26975,When a malicious application installed on the user's device broadcast an Intent to Firefox for Android arbitrary headers could have been specified leading to attacks such as abusing ambient authority or session fixation. This was resolved by only allowing certain safe-listed headers. *Note: This issue only affected Firefox for Android. Other operating systems are unaffected.*. This vulnerability affects Firefox < 84.
CVE-2020-26974,When flex-basis was used on a table wrapper a StyleGenericFlexBasis object could have been incorrectly cast to the wrong type. This resulted in a heap user-after-free memory corruption and a potentially exploitable crash. This vulnerability affects Firefox < 84 Thunderbird < 78.6 and Firefox ESR < 78.6.
CVE-2020-26973,Certain input to the CSS Sanitizer confused it resulting in incorrect components being removed. This could have been used as a sanitizer bypass. This vulnerability affects Firefox < 84 Thunderbird < 78.6 and Firefox ESR < 78.6.
CVE-2020-26972,The lifecycle of IPC Actors allows managed actors to outlive their manager actors; and the former must ensure that they are not attempting to use a dead actor they have a reference to. Such a check was omitted in WebGL resulting in a use-after-free and a potentially exploitable crash. This vulnerability affects Firefox < 84.
CVE-2020-26971,Certain blit values provided by the user were not properly constrained leading to a heap buffer overflow on some video drivers. This vulnerability affects Firefox < 84 Thunderbird < 78.6 and Firefox ESR < 78.6.
CVE-2020-26970,When reading SMTP server status codes Thunderbird writes an integer value to a position on the stack that is intended to contain just one byte. Depending on processor architecture and stack layout this leads to stack corruption that may be exploitable. This vulnerability affects Thunderbird < 78.5.1.
CVE-2020-26969,Mozilla developers reported memory safety bugs present in Firefox 82. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code. This vulnerability affects Firefox < 83.
CVE-2020-26968,Mozilla developers reported memory safety bugs present in Firefox 82 and Firefox ESR 78.4. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code. This vulnerability affects Firefox < 83 Firefox ESR < 78.5 and Thunderbird < 78.5.
CVE-2020-26967,When listening for page changes with a Mutation Observer a malicious web page could confuse Firefox Screenshots into interacting with elements other than those that it injected into the page. This would lead to internal errors and unexpected behavior in the Screenshots code. This vulnerability affects Firefox < 83.
CVE-2020-26966,Searching for a single word from the address bar caused an mDNS request to be sent on the local network searching for a hostname consisting of that string; resulting in an information leak. *Note: This issue only affected Windows operating systems. Other operating systems are unaffected.*. This vulnerability affects Firefox < 83 Firefox ESR < 78.5 and Thunderbird < 78.5.
CVE-2020-26965,"Some websites have a feature ""Show Password"" where clicking a button will change a password field into a textbook field revealing the typed password. If when using a software keyboard that remembers user input a user typed their password and used that feature the type of the password field was changed resulting in a keyboard layout change and the possibility for the software keyboard to remember the typed password. This vulnerability affects Firefox < 83 Firefox ESR < 78.5 and Thunderbird < 78.5."
CVE-2020-26964,If the Remote Debugging via USB feature was enabled in Firefox for Android on an Android version prior to Android 6.0 untrusted apps could have connected to the feature and operated with the privileges of the browser to read and interact with web content. The feature was implemented as a unix domain socket protected by the Android SELinux policy; however SELinux was not enforced for versions prior to 6.0. This was fixed by removing the Remote Debugging via USB feature from affected devices. *Note: This issue only affected Firefox for Android. Other operating systems are unaffected.*. This vulnerability affects Firefox < 83.
CVE-2020-26963,Repeated calls to the history and location interfaces could have been used to hang the browser. This was addressed by introducing rate-limiting to these API calls. This vulnerability affects Firefox < 83.
CVE-2020-26962,Cross-origin iframes that contained a login form could have been recognized by the login autofill service and populated. This could have been used in clickjacking attacks as well as be read across partitions in dynamic first party isolation. This vulnerability affects Firefox < 83.
CVE-2020-26961,When DNS over HTTPS is in use it intentionally filters RFC1918 and related IP ranges from the responses as these do not make sense coming from a DoH resolver. However when an IPv4 address was mapped through IPv6 these addresses were erroneously let through leading to a potential DNS Rebinding attack. This vulnerability affects Firefox < 83 Firefox ESR < 78.5 and Thunderbird < 78.5.
CVE-2020-26960,If the Compact() method was called on an nsTArray the array could have been reallocated without updating other pointers leading to a potential use-after-free and exploitable crash. This vulnerability affects Firefox < 83 Firefox ESR < 78.5 and Thunderbird < 78.5.
CVE-2020-26959,During browser shutdown reference decrementing could have occured on a previously freed object resulting in a use-after-free memory corruption and a potentially exploitable crash. This vulnerability affects Firefox < 83 Firefox ESR < 78.5 and Thunderbird < 78.5.
CVE-2020-26958,Firefox did not block execution of scripts with incorrect MIME types when the response was intercepted and cached through a ServiceWorker. This could lead to a cross-site script inclusion vulnerability or a Content Security Policy bypass. This vulnerability affects Firefox < 83 Firefox ESR < 78.5 and Thunderbird < 78.5.
CVE-2020-26957,OneCRL was non-functional in the new Firefox for Android due to a missing service initialization. This could result in a failure to enforce some certificate revocations. *Note: This issue only affected Firefox for Android. Other operating systems are unaffected.*. This vulnerability affects Firefox < 83.
CVE-2020-26956,In some cases removing HTML elements during sanitization would keep existing SVG event handlers and therefore lead to XSS. This vulnerability affects Firefox < 83 Firefox ESR < 78.5 and Thunderbird < 78.5.
CVE-2020-26955,When a user downloaded a file in Firefox for Android if a cookie is set it would have been re-sent during a subsequent file download operation on the same domain regardless of whether the original and subsequent request were in private and non-private browsing modes. *Note: This issue only affected Firefox for Android. Other operating systems are unaffected.*. This vulnerability affects Firefox < 83.
CVE-2020-26954,When accepting a malicious intent from other installed apps Firefox for Android accepted manifests from arbitrary file paths and allowed declaring webapp manifests for other origins. This could be used to gain fullscreen access for UI spoofing and could also lead to cross-origin attacks on targeted websites. *Note: This issue only affected Firefox for Android. Other operating systems are unaffected.*. This vulnerability affects Firefox < 83.
CVE-2020-26953,It was possible to cause the browser to enter fullscreen mode without displaying the security UI; thus making it possible to attempt a phishing attack or otherwise confuse the user. This vulnerability affects Firefox < 83 Firefox ESR < 78.5 and Thunderbird < 78.5.
CVE-2020-26952,Incorrect bookkeeping of functions inlined during JIT compilation could have led to memory corruption and a potentially exploitable crash when handling out-of-memory errors. This vulnerability affects Firefox < 83.
CVE-2020-26951,A parsing and event loading mismatch in Firefox's SVG code could have allowed load events to fire even after sanitization. An attacker already capable of exploiting an XSS vulnerability in privileged internal pages could have used this attack to bypass our built-in sanitizer. This vulnerability affects Firefox < 83 Firefox ESR < 78.5 and Thunderbird < 78.5.
CVE-2020-26950,In certain circumstances the MCallGetProperty opcode can be emitted with unmet assumptions resulting in an exploitable use-after-free condition. This vulnerability affects Firefox < 82.0.3 Firefox ESR < 78.4.1 and Thunderbird < 78.4.2.
